,노선ID,노선명,상하행,노선길이,굴곡도합계,셀개수,굴곡도
204,28042003,16,하행,30.604832000000002,3670.280512669326,2556,1.4359469924371386
205,28043001,30,상행,40.08596800000001,4311.244727062099,3570,1.2076315762078709
206,28043001,30,하행,40.212844,5159.890196731006,4186,1.2326541320427629
207,28043002,78,상행,26.163155999999997,1016.471992052978,820,1.2395999903085098
208,28043002,78,하행,23.468931000000005,811.5712022579837,666,1.2185753787657414
209,28045001,6-1,상행,53.274495000000016,50240.11688736111,8778,5.723412723554467
210,28047001,902(강화),상행,0.71807,10.359434947287095,10,1.0359434947287096
211,28047001,902(강화),하행,0.64169,15.60937928543696,15,1.0406252856957974
212,28048001,901(강화),상행,0.7340949999999999,22.531296408760998,21,1.0729188766076665
213,28048001,901(강화),하행,0.625665,6.169836383118694,6,1.0283060638531156
214,28049001,무의1,상행,12.668341999999999,410.6353900151241,120,3.421961583459367
215,28049001,무의1,하행,8.618739000000001,92.84540394833054,66,1.406748544671675
216,28204001,517,상행,4.502695000000001,92.23515388198507,91,1.0135731195822535
217,28204001,517,하행,15.764304000000003,2736.5815174581753,861,3.1783757461767426
218,28204002,519,상행,4.787695,96.10198043954159,91,1.0560657191158416
219,28204002,519,하행,16.073305,3206.8746285190055,946,3.389930896954551
220,28206001,522,상행,13.011657999999999,792.1382998429325,630,1.2573623807030674
221,28206001,522,하행,17.795094,1786.090828709224,1035,1.7256916219412792
222,28206002,591,상행,11.184618999999994,549.5556309545884,465,1.1818400665690074
223,28206002,591,하행,10.965381,558.0970764598782,465,1.2002087665803831
224,28206003,592,상행,9.593032999999998,353.648390997381,351,1.007545273496812
225,28206003,592,하행,23.411962000000006,4324.351205077932,1485,2.912021013520493
226,28206004,585,상행,7.920909,255.13657091154468,231,1.1044873199633969
227,28206004,585,하행,7.424092999999997,251.6858065901206,231,1.0895489462775783
228,28206005,591-1,상행,4.593841,54.64206406549235,45,1.2142680903442744
229,28206005,591-1,하행,3.682634,33.435544978328274,28,1.194126606368867
230,28206006,524,상행,9.147046999999999,335.93075781135184,300,1.1197691927045061
231,28206006,524,하행,7.813649999999999,230.6662782120376,210,1.0984108486287505
232,28206008,522A,상행,13.011657999999999,792.1382998429325,630,1.2573623807030674
233,28206008,522A,하행,13.190353000000002,818.7020081652911,630,1.2995269970877636
234,28206009,565,상행,5.872273,229.52345580331456,190,1.2080181884384977
235,28206009,565,하행,7.175727,434.5869156968278,276,1.5745902742638689
236,28208001,523,상행,19.066722000000002,2718.876944641038,1431,1.8999838886380418
237,28208001,523,하행,16.397347,1821.8531899921525,946,1.9258490380466728
238,28208002,523-1,상행,18.999146,1432.7912662167598,780,1.8369118797650767
239,28208002,523-1,하행,10.327921,396.70514132752834,378,1.049484500866477
240,28210001,516,상행,8.504591,636.5069252008343,435,1.4632343108065156
241,28210001,516,하행,9.758314999999998,686.5755668058432,496,1.3842249330762968
242,28210002,518,상행,4.638465999999999,157.94605046320598,153,1.0323271272104966
243,28210002,518,하행,9.235532,619.2885483474557,378,1.638329492982687
244,28210003,520,상행,5.592899,234.42409851426657,210,1.116305231020317
245,28210003,520,하행,7.024098999999999,421.7591153228106,300,1.405863717742702
246,28214002,531,상행,4.0060709999999995,81.13378446117122,78,1.0401767238611694
247,28214002,531,하행,3.9809289999999997,74.05528146709344,66,1.1220497191983854
248,28214003,540,상행,6.029434,228.36048043191198,210,1.087430859199581
249,28214003,540,하행,5.16137,134.02818031631392,120,1.1169015026359495
250,28214004,510,상행,12.878684,1132.403618413241,595,1.903199358677716
251,28214004,510,하행,11.295317,920.8755697793325,496,1.8566039713292994
252,28214005,532A,상행,14.831326,1391.0063744169656,946,1.4704084296162427
253,28214005,532A,하행,11.783249000000003,680.3691554288295,595,1.1434775721492931
254,28214006,532B,상행,12.656325,685.3863428887862,595,1.1519098199811533
255,28214006,532B,하행,13.958249000000004,1392.3642047301723,946,1.4718437682137129
256,28216001,537,상행,15.312971999999998,867.3918855880698,780,1.112040878959064
257,28216001,537,하행,12.938025999999997,533.0116964830768,496,1.0746203558126548
258,28216002,538,상행,5.913287,206.33245626428612,171,1.2066225512531352
259,28216002,538,하행,9.718712000000002,986.322547523416,561,1.7581507085978896
260,28216003,539,상행,4.171638,46.315747695957526,45,1.029238837687945
261,28216003,539,하행,1.4743600000000001,15.170728994016875,15,1.0113819329344582
262,28216004,535,상행,13.042302999999997,649.5434651339045,528,1.230195956693001
263,28216004,535,하행,15.496550000000003,879.1322664113821,630,1.3954480419228288
264,28216005,535-1,상행,8.055883000000001,256.1830361356676,136,1.8836987951152029
265,28216005,535-1,하행,10.216380000000001,344.0020530406705,190,1.8105371212666868
266,28216006,536,상행,10.789427,469.19397241208554,300,1.5639799080402852
267,28216006,536,하행,10.022574,472.0037139043458,300,1.573345713014486
268,28217001,551,상행,7.295441,215.21414557983587,210,1.0248292646658852
269,28217001,551,하행,6.714557000000001,215.16496111018662,210,1.0245950529056507
270,28217002,586,상행,8.209671,283.80070016469296,253,1.1217418978841618
271,28217002,586,하행,7.136328,209.77604247681762,190,1.1040844340885139
272,28217003,588,상행,12.028057000000002,1158.1486591791675,703,1.647437637523709
273,28217003,588,하행,10.578944,865.4491833188124,561,1.542690166343694
274,28219001,521,상행,8.578088,204.06649481506957,190,1.0740341832372082
275,28219001,521,하행,8.135425,163.11062423251695,153,1.0660825113236403
276,28222001,511,상행,6.3613349999999995,124.50112958856072,120,1.037509413238006
277,28222001,511,하행,4.889908,78.39170993561649,78,1.0050219222514936
278,28222002,512,상행,5.4960059999999995,116.61475616849093,91,1.2814808370163837
279,28222002,512,하행,6.029994,148.52457695965333,120,1.2377048079971111
280,28223001,567,상행,4.636030000000001,107.78772389047307,105,1.0265497513378388
281,28223001,567,하행,3.157973,45.06358581560252,45,1.0014130181245005
282,28223002,566,상행,10.280412000000002,405.7540830001338,351,1.1559945384619197
283,28223002,566,하행,7.509590999999999,210.55385088627278,210,1.0026373851727275
284,28224001,574,상행,5.738989000000001,197.9622800142072,136,1.4556050001044647
285,28224001,574,하행,3.347016,67.56175713853557,66,1.0236629869475087
286,28224002,561,상행,6.225693000000001,335.18462457633524,210,1.5961172598873106
287,28224002,561,하행,4.021463,167.72113452668833,120,1.397676121055736
288,28228001,556,상행,14.285456,1215.8107112809407,861,1.4120914184447628
289,28228001,556,하행,12.963674000000005,1046.2308027441293,741,1.411917412610161
290,28228002,571,상행,7.255169,248.4116161633299,231,1.0753749617460169
291,28228002,571,하행,6.738833999999999,269.2372313189913,210,1.2820820538999584
292,28228003,558,상행,7.69307,661.705882436746,435,1.5211629481304507
293,28228003,558,하행,6.129930000000001,418.34794006490847,325,1.2872244309689491
294,28228005,583,상행,15.498018000000002,906.7623072638735,861,1.0531501826525824
295,28228005,583,하행,18.172377999999995,1417.9266158522196,1128,1.2570271417129606
296,28228006,590,상행,7.780042,234.18242194343992,190,1.2325390628602102
297,28228006,590,하행,6.344955999999998,176.9868403846751,153,1.1567767345403601
298,28228009,581,상행,9.144931999999999,651.1440127497268,528,1.2332272968744826
299,28228009,581,하행,6.945068999999999,311.44202502388384,276,1.1284131341445067
300,28228010,770-1,상행,8.777647000000002,655.5974411454807,351,1.8677989776224522
301,28228010,770-1,하행,7.9543490000000014,796.7430880043668,435,1.831593305757165
302,28228011,760-1,상행,18.12113,3581.942395038738,1596,2.2443248089215153
303,28228014,597,상행,12.191327999999997,255.13701555764706,253,1.0084467018088816
304,28228014,597,하행,12.103290000000001,277.24903177138526,276,1.0045254774325554
305,28229002,515,상행,10.583037999999998,977.4718423580639,465,2.1020899835657287
306,28229002,515,하행,8.191960999999997,393.7095645993985,253,1.5561642869541443
307,28229005,515-1,상행,4.3792919999999995,85.26414045498558,78,1.0931300058331483
308,28229005,515-1,하행,4.52771,66.40842757379355,55,1.2074259558871554
309,28231003,562,상행,2.7100400000000002,55.138398762621804,55,1.0025163411385782
310,28231003,562,하행,2.697958,22.18117945629145,21,1.0562466407757833
311,28231005,569,상행,3.393733000000001,82.89734299823434,78,1.062786448695312
312,28231005,569,하행,2.505266,57.24350376177224,55,1.040790977486768
313,28231006,570,상행,4.643926,111.62804976577064,105,1.06312428348353
314,28231006,570,하행,3.8810740000000004,56.08607115080462,55,1.0197467481964477
315,28231007,582,상행,6.996456999999999,273.5737464520897,231,1.184301932693029
316,28231007,582,하행,15.584270000000004,2391.80818808809,780,3.0664207539590898
317,28231008,584,상행,15.469353999999997,1145.3576321719029,1035,1.106625731567056
318,28231008,584,하행,16.390124999999998,1104.0868123314965,946,1.1671107952764235
319,28231009,587,상행,2.517,54.69743300021661,45,1.2154985111159247
320,28231010,506,상행,17.889511999999993,3081.4910443940357,1225,2.5155028933828865
321,28231010,506,하행,17.425280999999995,3120.4874129336818,1225,2.547336663619332
322,28247001,533,상행,4.894908999999999,93.71077806755248,91,1.029788769973104
323,28247001,533,하행,3.85026,56.56048793884818,55,1.0283725079790578
324,28247002,534,상행,8.551881999999999,342.4165774623922,300,1.1413885915413073
325,28247002,534,하행,7.917120000000001,238.148460476869,210,1.1340402879850904
326,28248001,대곡5,상행,7.640503,153.0329624254541,153,1.0002154406892425
327,28248001,대곡5,하행,6.5979600000000005,135.9891560780014,136,0.999920265279422
328,28301002,223A,상행,30.874257999999998,28.09217124484874,28,1.0032918301731693
329,28302001,800,상행,53.434168,669.4005161552524,595,1.125042884294542
330,28302001,800,하행,52.63383,676.6101989431054,595,1.1371599982237066
331,28302003,700-1,상행,69.62516800000003,7522.160593350403,6670,1.1277602088981113
332,28302003,700-1,하행,67.95682599999999,7047.029014834531,6441,1.0940892741553379
333,28302004,22(강화),상행,13.086642000000001,275.20429670696336,253,1.0877640186045983
334,28302004,22(강화),하행,13.356358,302.80979272075444,276,1.097136930147661
335,28302005,17-1,상행,18.399155999999998,1298.5074226247593,1176,1.1041729784224144
336,28302005,17-1,하행,17.577928999999997,1051.0944017383183,990,1.0617115169073923
337,28302006,60-5,상행,63.242497,417.47655132676607,351,1.1893918841218407
338,28302006,60-5,하행,64.69950400000002,300.72961367291776,276,1.089600049539557
339,28302007,18(강화),상행,27.177366000000003,1379.4424930001246,1378,1.0010468018868828
340,28302007,18(강화),하행,27.200635000000002,1378.8101588813481,1378,1.000587923716508
341,28302010,2(강화),상행,48.42300800000001,12097.398252504458,5995,2.0179146376154224
342,28302011,5(강화),상행,76.15614200000003,22789.3201738086,9591,2.376115126035721
343,28302012,7A(강화),상행,93.72414099999997,133441.34620129067,17952,7.4332300691449795
344,28302013,7B(강화),상행,97.66584599999999,139575.8553807521,18913,7.3798897784990265
345,28302014,8A(강화),상행,94.64713999999998,124411.60332693688,17575,7.078896348616608
