순번_정류장ID,64-2803210,65-2803361,66-2807344,67-2806484,68-2807326,69-2805694,70-2805636,71-2806053,72-2806032,73-2806025,74-2805697,75-2805699,76-2805701,77-2807440,78-2806806,79-2805704,80-2807625,81-2806162,82-2805635,83-2805633,84-2807037,85-2805631,86-2805677,87-2807428,88-2807429,89-2807521,90-2806171,91-2807223,92-2806160,93-2805528,94-2807269,95-2806830,96-2805759,97-2805529,98-2805839,99-2805561,100-2805340,101-2805841,102-2805450,103-2806913,104-2805580,105-2805332,106-2805742,107-2805229,108-2805231,109-2805400,110-2805038,111-2804895,112-2805911,113-2806732,114-2806730,115-2807462,116-2806214,117-2800622,118-2800627,119-2800336,120-2800653,121-2800656,122-2800661,123-2804967,124-2806938
94-2807269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.369745,1.041474,1.288119,1.581623,1.645125,1.5724049999999998,1.6789330000000002,1.8597419999999998,2.4581939999999998,2.799124,2.497792,2.3164,2.5283849999999997,2.828934,3.3291269999999997,3.5253669999999997,3.8023580000000003,4.072899,4.410768,4.886026,5.091083,5.705469,5.9916540000000005,6.33101,6.775094,6.749244999999999,6.565289999999999,6.357673999999999,6.267071,7.076703999999999
95-2806830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.6807300000000001,0.927375,1.220879,1.2843799999999999,1.21166,1.318188,1.498997,2.09745,2.537929,2.284047,2.1006560000000003,2.312641,2.6221900000000002,3.122382,3.318622,3.5956129999999997,3.867154,4.205023000000001,4.680282,4.885338,5.500725,5.784909,6.124266,6.570349,6.543501,6.359545,6.153929,6.0623260000000005,6.872960000000001
96-2805759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.24764499999999998,0.549149,0.797198,0.735082,0.8416100000000001,1.02242,1.6208719999999999,2.0613509999999997,1.8074689999999998,1.6240780000000001,1.836063,2.145612,2.645804,2.842045,3.119036,3.3905760000000003,3.727445,4.202704,4.40776,5.024147,5.308332,5.647688,6.092771,6.065923000000001,5.881968,5.676352,5.584748,6.395382
97-2805529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.302504,0.550553,0.7952859999999999,0.9018139999999999,1.132623,1.731075,2.171554,2.0541139999999998,1.870723,2.0827080000000002,2.392257,2.892449,3.08869,3.365681,3.637221,3.9750900000000002,4.450349,4.654405000000001,5.270792,5.5539760000000005,5.893333,6.340416,6.313568,6.128613,5.923997,5.832393,6.643027
98-2805839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.248049,0.494781,0.60131,0.832119,1.4305709999999998,1.87105,2.172382,2.119227,2.331212,2.640761,3.1409529999999997,3.337194,3.614185,3.885725,4.222594,4.698853,4.903909,5.518296,5.80348,6.142837,6.58892,6.562072,6.378117,6.1725010000000005,6.0818970000000006,6.890531
99-2805561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.24673299999999998,0.353261,0.58407,1.1825219999999999,1.623001,1.924333,2.1777279999999997,2.389713,2.699262,3.199455,3.395695,3.673686,3.9442269999999997,4.282096,4.756355,4.962411,5.577797,5.862982,6.201338,6.646422,6.620572999999999,6.436618,6.231001999999999,6.139399,6.949032000000001
100-2805340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.106528,0.338338,0.93679,1.377269,1.6786009999999998,1.9319959999999998,2.143981,2.4535299999999998,2.953722,3.149963,3.427954,3.6974940000000003,4.036363,4.511622,4.715678,5.331065,5.616249,5.956606,6.3996889999999995,6.374841,6.190886,5.98527,5.8936660000000005,6.7033
101-2805841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.23181,0.8302620000000001,1.270741,1.572073,1.825468,2.0374529999999997,2.3470020000000003,2.847194,3.0434349999999997,3.321426,3.591966,3.9298349999999997,4.405094,4.61015,5.224537000000001,5.509721,5.848078,6.295161,6.268313,6.0833580000000005,5.877742,5.787138,6.5967720000000005
102-2805450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5984520000000001,1.038931,1.340263,1.679658,1.891643,2.201192,2.7013849999999997,2.897625,3.174616,3.445157,3.783026,4.258284,4.463341000000001,5.077726999999999,5.362912000000001,5.702268,6.147352,6.121503,5.935548000000001,5.729932,5.639329,6.448962
103-2806913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.440479,0.741811,1.081206,1.293191,1.60274,2.102933,2.299173,2.576164,2.847705,3.1855740000000003,3.6598319999999998,3.865889,4.480275,4.76546,5.1048160000000005,5.5489,5.524051,5.339096,5.1334800000000005,5.042877,5.85251
104-2805580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.301332,0.640727,0.852712,1.162261,1.662454,1.8586939999999998,2.135685,2.4062259999999998,2.744095,3.219353,3.42441,4.039796,4.324981,4.664337000000001,5.108421,5.082572,4.897616999999999,4.693001000000001,4.6013980000000005,5.4110309999999995
105-2805332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.339395,0.55138,0.860929,1.361122,1.5573620000000001,1.8353529999999998,2.1058939999999997,2.4427630000000002,2.919021,3.123078,3.738464,4.0226489999999995,4.362005,4.808089,4.78124,4.598285,4.392669000000001,4.3010660000000005,5.109699
106-2805742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.21198499999999998,0.521534,1.021727,1.217967,1.495958,1.7664990000000003,2.104368,2.5796259999999998,2.7846830000000002,3.3990690000000003,3.684254,4.02361,4.468693,4.442844999999999,4.25789,4.052274,3.9626699999999997,4.771304
107-2805229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.30954899999999996,0.809742,1.005982,1.282973,1.553513,1.8913830000000003,2.366641,2.571698,3.186084,3.4712690000000004,3.810625,4.255708,4.2298599999999995,4.0439050000000005,3.838289,3.7476849999999997,4.557319000000001
