순번_정류장ID,1-2800717,2-2805253,3-2805251,4-2805249,5-2800563,6-2807520,7-2807504,8-2804433,1-2806577,2-2804034,3-2804035,4-2804039,5-2805298,6-2804496,7-2804523,8-2804508,9-2804520,10-2805723,11-2800053,12-2800024,13-2800451,14-2800454,15-2800309,16-2800494,17-2805303,18-2800512,19-2800566,20-2800596,21-2803049,22-2802654,23-2807098,24-2802671,25-2803042,26-2803043,27-2803123,28-2803137,29-2802629,30-2802709,31-2802748,32-2802728,33-2802094,34-2802129,35-2802831
23-2807098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.24133800000000002,1.0170000000000001,1.3595,1.900626,2.099127,1.8132409999999999,1.372213,2.8778240000000004,3.76482,5.221682,6.123482,6.137805999999999
24-2802671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.775663,1.118163,1.659289,1.85779,2.054579,1.613551,3.1191619999999998,4.006157,5.463019999999999,6.363819,6.378143
25-2803042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3435,0.884626,1.083127,1.725759,2.268787,3.893824,4.78282,6.238682,7.140482,7.153805999999999
26-2803043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.541127,1.080627,1.723259,2.2662869999999997,4.173324,5.06032,6.517182,7.417982,7.431306
27-2803123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.539501,1.182133,1.7251610000000002,3.6301980000000005,4.519194000000001,5.9750559999999995,6.875856,6.8891800000000005
28-2803137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.644632,1.18766,3.093697,3.981693,5.437555000000001,6.338355,6.352679
29-2802629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.549028,2.454066,3.342061,4.7989239999999995,5.697723000000001,5.714047
30-2802709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.906037,2.7930330000000003,4.248895,5.150695,5.165019
31-2802748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.8879959999999999,2.343858,3.2436580000000004,3.258982
32-2802728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.456863,2.357662,2.371986
33-2802094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.9018,2.6191240000000002
34-2802129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.7183240000000002
35-2802831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
