순번_정류장ID,1-2805765,2-2805001,3-2805892,4-2805894,5-2805897,6-2802243,7-2802239,8-2802232,9-2801863,10-2801904,11-2804910,12-2801833,13-2802219,14-2802216,15-2802209,16-2802202,17-2802188,18-2802186,19-2804814,20-2802156,21-2802151,22-2802130,23-2802126,24-2802120,25-2802085,26-2802096,27-2802111,28-2801845,29-2801849,30-2802136,31-2802152,32-2802163,33-2802174,34-2802618,35-2802828,36-2802882,37-2802393,38-2802395,39-2802399,40-2802406,41-2802412,42-2802442,43-2802453,44-2802250,45-2802253,46-2802260,47-2802263,48-2803792,49-2801816,50-2801861,51-2802277,52-2802269,53-2802259,54-2801841,55-2802240
36-2802882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.43730399999999997,0.923233,1.567934,1.919209,2.401313,2.635609,2.936469,3.478232,3.9136130000000002,4.294138,4.722694000000001,5.052632000000001,5.4614650000000005,5.8290560000000005,6.222934,6.655503,6.991669,7.921224,8.279117
37-2802393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.485929,1.13063,1.481905,1.964009,2.198305,2.499165,3.040928,3.476309,3.856834,4.2853900000000005,4.615328000000001,5.024161000000001,5.391752000000001,5.785630000000001,6.218199000000001,6.554365000000001,7.48392,7.841813
38-2802395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.644701,0.995976,1.4780799999999998,1.712376,2.013236,2.554999,2.99038,3.370905,3.799461,4.129399,4.538232000000001,4.905823000000001,5.299701000000001,5.732270000000001,6.068436,6.997991,7.355884
39-2802399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.351275,0.833379,1.067675,1.368535,1.910298,2.345679,2.726204,3.15476,3.484698,3.893531,4.261122,4.655,5.087569,5.423735000000001,6.35329,6.711183
40-2802406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.482104,0.7163999999999999,1.0172599999999998,1.5590229999999998,1.9944039999999998,2.374929,2.803485,3.1334229999999996,3.5422559999999996,3.9098469999999996,4.303725,4.736294,5.0724599999999995,6.002014999999999,6.359907999999999
41-2802412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.234296,0.535156,1.076919,1.5123,1.892825,2.321381,2.651319,3.060152,3.427743,3.821621,4.2541899999999995,4.590356,5.519911,5.877803999999999
42-2802442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.30086,0.842623,1.2780040000000001,1.6585290000000001,2.087085,2.417023,2.825856,3.193447,3.587325,4.019894,4.356059999999999,5.285614999999999,5.643507999999999
43-2802453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.541763,0.977144,1.357669,1.786225,2.116163,2.524996,2.892587,3.2864649999999997,3.7190339999999997,4.055199999999999,4.984754999999999,5.342647999999999
44-2802250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.435381,0.815906,1.244462,1.5744,1.983233,2.3508240000000002,2.744702,3.177271,3.513437,4.442992,4.800885
45-2802253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.380525,0.809081,1.139019,1.547852,1.915443,2.309321,2.74189,3.078056,4.007611,4.365504
46-2802260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.42855600000000005,0.758494,1.167327,1.534918,1.928796,2.361365,2.697531,3.6270860000000003,3.984979
47-2802263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.329938,0.7387710000000001,1.106362,1.50024,1.932809,2.268975,3.19853,3.5564229999999997
48-2803792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.408833,0.776424,1.170302,1.602871,1.939037,2.8685919999999996,3.2264849999999994
49-2801816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.367591,0.761469,1.194038,1.530204,2.459759,2.817652
50-2801861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.393878,0.8264469999999999,1.162613,2.092168,2.450061
51-2802277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.432569,0.768735,1.6982899999999999,2.056183
52-2802269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.33616599999999996,1.2657209999999999,1.623614
53-2802259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9295549999999999,1.287448
54-2801841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.35789299999999996
55-2802240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
