순번_정류장ID,48-2801595,49-2801562,50-2800171,51-2800236,52-2801472,53-2801453,54-2801416,55-2801198,56-2801378,57-2801385,58-2801389,59-2801400,60-2801406,61-2801399,62-2801370,63-2801341,64-2801316,65-2801297,66-2801318,67-2801356,68-2801388,69-2801414,70-2801438,71-2805321,72-2801462,73-2805642,74-2801544,75-2801187,76-2801581,77-2801606,78-2800694,79-2800726,80-2800751,81-2800765,82-2800782,83-2800797,84-2800813,85-2803049,86-2803063,87-2803062,88-2803058,89-2800370,90-2800369
81-2800765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.431683,0.709804,1.338657,1.693384,2.216334,2.432232,3.099122,3.818957,5.086579
82-2800782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.278121,0.906974,1.261701,1.784651,2.000549,2.667439,3.3872739999999997,4.654896
83-2800797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.628853,0.98358,1.5065300000000001,1.722428,2.3893180000000003,3.109153,4.376775
84-2800813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.354727,0.877677,1.093575,1.760465,2.4802999999999997,3.747922
85-2803049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.52295,0.7388480000000001,1.405738,2.125573,3.3931950000000004
86-2803063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.215898,0.882788,1.602623,2.8702449999999997
87-2803062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.66689,1.386725,2.654347
88-2803058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.719835,1.987457
89-2800370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.267622
90-2800369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
