순번_정류장ID,1-2803340,2-2803336,3-2803326,4-2803324,5-2803322,6-2803311,7-2803316,8-2803319,9-2803305,10-2803293,11-2803281,12-2803275,13-2803266,14-2803268,15-2803259,16-2803249,17-2803226,18-2803127,19-2805713,20-2803122,21-2803104,22-2803094,23-2803079,24-2803068,25-2807615,26-2803077,27-2803101,28-2803100,29-2803087,30-2802667,31-2802631,32-2802668,33-2802655,34-2803050,35-2800814,36-2800793,37-2800785,38-2800766,39-2800748,40-2800721,41-2800697,42-2801603,43-2801583,44-2801565,45-2801546,46-2801527,47-2801484,48-2801178,49-2801179,50-2801424,51-2801411,52-2801401,53-2801391,54-2801386,55-2801380,56-2805805,57-2800209,58-2800201
31-2802631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.653227,1.012899,1.331903,2.034615,2.226324,2.689178,2.941012,3.359582,3.676987,4.655577,4.980946,5.249750000000001,5.541087000000001,5.965686000000001,6.415716000000001,6.853829000000001,7.435661000000001,7.892187000000002,8.171438000000002,8.458882000000003,8.720346000000003,8.963275000000003,9.193078000000003,9.461922000000003,9.744649000000003,10.627571000000003,10.825297000000003
32-2802668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.359672,0.6786760000000001,1.381388,1.573097,2.035951,2.287785,2.706355,3.02376,4.00235,4.327719,4.596523,4.887860000000001,5.3124590000000005,5.762489,6.200602000000001,6.782434000000001,7.238960000000001,7.518211000000002,7.805655000000002,8.067119000000002,8.310048000000002,8.539851000000002,8.808695000000002,9.091422000000001,9.974344000000002,10.172070000000001
33-2802655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.319004,1.021716,1.213425,1.676279,1.9281130000000002,2.346683,2.664088,3.642678,3.9680470000000003,4.236851000000001,4.528188000000001,4.952787000000001,5.402817000000001,5.840930000000001,6.422762000000001,6.879288000000002,7.158539000000002,7.445983000000002,7.707447000000002,7.950376000000002,8.180179000000003,8.449023000000002,8.731750000000002,9.614672000000002,9.812398000000002
34-2803050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.702712,0.894421,1.357275,1.6091090000000001,2.027679,2.345084,3.323674,3.649043,3.9178469999999996,4.209184,4.633782999999999,5.083812999999999,5.521926,6.103758,6.560284,6.839535000000001,7.126979,7.3884430000000005,7.631372000000001,7.861175000000001,8.130019,8.412746,9.295668000000001,9.493394
35-2800814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.191709,0.654563,0.906397,1.324967,1.642372,2.620962,2.946331,3.2151349999999996,3.5064719999999996,3.9310709999999998,4.381101,4.8192140000000006,5.401046000000001,5.857572000000001,6.1368230000000015,6.424267000000001,6.685731000000001,6.928660000000002,7.158463000000002,7.427307000000002,7.710034000000002,8.592956000000003,8.790682000000002
36-2800793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.462854,0.714688,1.133258,1.450663,2.429253,2.7546220000000003,3.023426,3.314763,3.7393620000000003,4.189392000000001,4.627505000000001,5.209337000000001,5.665863000000002,5.945114000000002,6.232558000000002,6.494022000000002,6.736951000000002,6.9667540000000026,7.235598000000002,7.518325000000003,8.401247000000003,8.598973000000003
37-2800785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.251834,0.670404,0.9878089999999999,1.966399,2.2917680000000002,2.560572,2.851909,3.276508,3.726538,4.164651,4.7464830000000005,5.203009000000001,5.482260000000001,5.769704000000001,6.031168000000001,6.274097000000001,6.503900000000002,6.772744000000001,7.055471000000002,7.938393000000001,8.136119
38-2800766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.41857,0.735975,1.714565,2.0399339999999997,2.3087379999999995,2.6000749999999995,3.0246739999999996,3.4747039999999996,3.9128169999999995,4.494649,4.951175,5.2304260000000005,5.51787,5.779334,6.022263000000001,6.252066000000001,6.520910000000001,6.803637000000001,7.686559000000001,7.884285000000001
39-2800748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.317405,1.295995,1.621364,1.890168,2.181505,2.606104,3.056134,3.494247,4.076079,4.532605,4.811856000000001,5.0993,5.3607640000000005,5.603693000000001,5.833496000000001,6.102340000000001,6.385067000000001,7.267989000000001,7.465715000000001
40-2800721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.97859,1.3039589999999999,1.572763,1.8640999999999999,2.288699,2.7387289999999997,3.1768419999999997,3.7586739999999996,4.215199999999999,4.494451,4.781895,5.043359,5.286288,5.516091,5.784935,6.067662,6.950584,7.14831
